Seed, Pair1, Pair2, Pair3, Pair4, Pair5, Pair6, Pair7
HRB1-HRB2, HRB2-HRB3, HRB3-HRB4, HRC1-HRC2, HRC2-HRC3, HRB4-HRB5, HRA2-HRA3, HRA3-HRA4
HRB2-HRB3, HRB1-HRB2, HRB3-HRB4, HRC1-HRC2, HRC2-HRC3, HRB4-HRB5, HRA2-HRA3, HRA3-HRA4
HRB3-HRB4, HRB1-HRB2, HRB2-HRB3, HRC1-HRC2, HRC2-HRC3, HRB4-HRB5, HRA2-HRA3, HRA3-HRA4
HRC1-HRC2, HRB1-HRB2, HRB2-HRB3, HRB3-HRB4, HRC2-HRC3, HRB4-HRB5, HRA2-HRA3, HRA3-HRA4
HRC2-HRC3, HRB1-HRB2, HRB2-HRB3, HRB3-HRB4, HRC1-HRC2, HRB4-HRB5, HRA2-HRA3, HRA3-HRA4
HRB4-HRB5, HRB1-HRB2, HRB2-HRB3, HRB3-HRB4, HRC1-HRC2, HRC2-HRC3, HRA2-HRA3, HRA3-HRA4
HRA2-HRA3, HRB1-HRB2, HRB2-HRB3, HRB3-HRB4, HRC1-HRC2, HRC2-HRC3, HRB4-HRB5, HRA3-HRA4
HRA3-HRA4, HRB1-HRB2, HRB2-HRB3, HRB3-HRB4, HRC1-HRC2, HRC2-HRC3, HRB4-HRB5, HRA2-HRA3
