Seed, Pair1, Pair2, Pair3, Pair4, Pair5, Pair6, Pair7
TLA1-TLA2, TLA2-TLA3, TLB1-TLB2, TLB2-TLB3, TLB3-TLB4, TLA3-TLA4, TBA3-TBA4, TBA2-TBA3
TLA2-TLA3, TLA1-TLA2, TLB1-TLB2, TLB2-TLB3, TLB3-TLB4, TLA3-TLA4, TBA3-TBA4, TBA2-TBA3
TLB1-TLB2, TLA1-TLA2, TLA2-TLA3, TLB2-TLB3, TLB3-TLB4, TLA3-TLA4, TBA3-TBA4, TBA2-TBA3
TLB2-TLB3, TLA1-TLA2, TLA2-TLA3, TLB1-TLB2, TLB3-TLB4, TLA3-TLA4, TBA3-TBA4, TBA2-TBA3
TLB3-TLB4, TLA1-TLA2, TLA2-TLA3, TLB1-TLB2, TLB2-TLB3, TLA3-TLA4, TBA3-TBA4, TBA2-TBA3
TLA3-TLA4, TLA1-TLA2, TLA2-TLA3, TLB1-TLB2, TLB2-TLB3, TLB3-TLB4, TBA3-TBA4, TBA2-TBA3
TBA3-TBA4, TLA1-TLA2, TLA2-TLA3, TLB1-TLB2, TLB2-TLB3, TLB3-TLB4, TLA3-TLA4, TBA2-TBA3
TBA2-TBA3, TLA1-TLA2, TLA2-TLA3, TLB1-TLB2, TLB2-TLB3, TLB3-TLB4, TLA3-TLA4, TBA3-TBA4
