Seed, Pair1, Pair2, Pair3, Pair4, Pair5, Pair6, Pair7
HL4-HL5, HL5-HL6, HL6-HL7, HL7-HL8, HL3-HL4, HL2-HL3, HL1-HL2, TBA2-TBA3
HL5-HL6, HL4-HL5, HL6-HL7, HL7-HL8, HL3-HL4, HL2-HL3, HL1-HL2, TBA2-TBA3
HL6-HL7, HL4-HL5, HL5-HL6, HL7-HL8, HL3-HL4, HL2-HL3, HL1-HL2, TBA2-TBA3
HL7-HL8, HL4-HL5, HL5-HL6, HL6-HL7, HL3-HL4, HL2-HL3, HL1-HL2, TBA2-TBA3
HL3-HL4, HL4-HL5, HL5-HL6, HL6-HL7, HL7-HL8, HL2-HL3, HL1-HL2, TBA2-TBA3
HL2-HL3, HL4-HL5, HL5-HL6, HL6-HL7, HL7-HL8, HL3-HL4, HL1-HL2, TBA2-TBA3
HL1-HL2, HL4-HL5, HL5-HL6, HL6-HL7, HL7-HL8, HL3-HL4, HL2-HL3, TBA2-TBA3
TBA2-TBA3, HL4-HL5, HL5-HL6, HL6-HL7, HL7-HL8, HL3-HL4, HL2-HL3, HL1-HL2
