Seed, Pair1, Pair2, Pair3, Pair4, Pair5, Pair6, Pair7
HL2-HL3, HL3-HL4, HL4-HL5, HL5-HL6, HL6-HL7, HL7-HL8, HL8-HL9, HL9-HL10
HL3-HL4, HL2-HL3, HL4-HL5, HL5-HL6, HL6-HL7, HL7-HL8, HL8-HL9, HL9-HL10
HL4-HL5, HL2-HL3, HL3-HL4, HL5-HL6, HL6-HL7, HL7-HL8, HL8-HL9, HL9-HL10
HL5-HL6, HL2-HL3, HL3-HL4, HL4-HL5, HL6-HL7, HL7-HL8, HL8-HL9, HL9-HL10
HL6-HL7, HL2-HL3, HL3-HL4, HL4-HL5, HL5-HL6, HL7-HL8, HL8-HL9, HL9-HL10
HL7-HL8, HL2-HL3, HL3-HL4, HL4-HL5, HL5-HL6, HL6-HL7, HL8-HL9, HL9-HL10
HL8-HL9, HL2-HL3, HL3-HL4, HL4-HL5, HL5-HL6, HL6-HL7, HL7-HL8, HL9-HL10
HL9-HL10, HL2-HL3, HL3-HL4, HL4-HL5, HL5-HL6, HL6-HL7, HL7-HL8, HL8-HL9
