Seed, Pair1, Pair2, Pair3, Pair4, Pair5, Pair6, Pair7
GC6-GC7, GC7-GC8, GD6-GD7, GD7-GD8, IHB1-IHB2, IHB2-IHB3, IHB3-IHB4, GA7-GA8
GC7-GC8, GC6-GC7, GD6-GD7, GD7-GD8, IHB1-IHB2, IHB2-IHB3, IHB3-IHB4, GA7-GA8
GD6-GD7, GC6-GC7, GC7-GC8, GD7-GD8, IHB1-IHB2, IHB2-IHB3, IHB3-IHB4, GA7-GA8
GD7-GD8, GC6-GC7, GC7-GC8, GD6-GD7, IHB1-IHB2, IHB2-IHB3, IHB3-IHB4, GA7-GA8
IHB1-IHB2, GC6-GC7, GC7-GC8, GD6-GD7, GD7-GD8, IHB2-IHB3, IHB3-IHB4, GA7-GA8
IHB2-IHB3, GC6-GC7, GC7-GC8, GD6-GD7, GD7-GD8, IHB1-IHB2, IHB3-IHB4, GA7-GA8
IHB3-IHB4, GC6-GC7, GC7-GC8, GD6-GD7, GD7-GD8, IHB1-IHB2, IHB2-IHB3, GA7-GA8
GA7-GA8, GC6-GC7, GC7-GC8, GD6-GD7, GD7-GD8, IHB1-IHB2, IHB2-IHB3, IHB3-IHB4
