FA per hour,Mean delay,Non-detected szrs,Threshold,Delay1,Delay2
0.0,,2,0.7250000000000004,inf,inf
0.0,,2,0.7300000000000004,inf,inf
0.0,,2,0.7350000000000004,inf,inf
0.0,,2,0.7400000000000004,inf,inf
0.0,,2,0.7450000000000004,inf,inf
0.0,,2,0.7500000000000004,inf,inf
0.0,,2,0.7550000000000004,inf,inf
0.0,,2,0.7600000000000005,inf,inf
0.0,,2,0.7650000000000005,inf,inf
0.0,,2,0.7700000000000005,inf,inf
0.0,,2,0.7750000000000005,inf,inf
0.0,,2,0.7800000000000005,inf,inf
0.0,,2,0.7850000000000005,inf,inf
0.0,,2,0.7900000000000005,inf,inf
0.0,,2,0.7950000000000005,inf,inf
