electrode_array,name,artifact,supplier,x,y,z
PIR3,(PIR3),DG-deleted,AdTech,54,105,91
PIR4,(PIR4),DG-deleted,AdTech,51,107,93
PIR6,(PIR6),DG-deleted,AdTech,46,109,98
PIR7,(PIR7),DG-deleted,AdTech,43,110,100
PIR8,(PIR8),DG-deleted,AdTech,41,111,103
PIR10,(PIR10),DG-deleted,AdTech,35,114,107
PIR11,(PIR11),DG-deleted,AdTech,33,115,110
PIR1,(PIR1),DG-deleted,AdTech,59,103,86
PIR5,(PIR5),DG-deleted,AdTech,48,108,95
PIR9,(PIR9),DG-deleted,AdTech,38,112,105
PIR12,(PIR12),DG-deleted,AdTech,30,116,112
